0.010, -0.3000, -4.5727
0.020, -0.3000, -2.9787
0.030, -0.3000, -2.3791
0.040, -0.3000, -1.9956
0.050, -0.3000, -1.7288
0.060, -0.3000, -1.6150
0.070, -0.3000, -1.4056
0.080, -0.3000, -1.3421
0.090, -0.3000, -1.2617
0.100, -0.3000, -1.1527
0.110, -0.3000, -1.1658
0.120, -0.3000, -1.0369
0.130, -0.3000, -1.0591
0.140, -0.3000, -1.0002
0.150, -0.3000, -0.9383
0.160, -0.3000, -0.9766
0.170, -0.3000, -0.9060
0.180, -0.3000, -0.9119
0.190, -0.3000, -0.9112
0.200, -0.3000, -0.8387
0.210, -0.3000, -0.8646
0.220, -0.3000, -0.7834
0.230, -0.3000, -0.8309
0.240, -0.3000, -0.7977
0.250, -0.3000, -0.7732
0.260, -0.3000, -0.8035
0.270, -0.3000, -0.7318
0.280, -0.3000, -0.7941
0.290, -0.3000, -0.7554
0.300, -0.3000, -0.7169
0.310, -0.3000, -0.7561
0.320, -0.3000, -0.7011
0.330, -0.3000, -0.7354
0.340, -0.3000, -0.7106
0.350, -0.3000, -0.6687
0.360, -0.3000, -0.7174
0.370, -0.3000, -0.6521
0.380, -0.3000, -0.6977
0.390, -0.3000, -0.6800
0.400, -0.3000, -0.6510
0.410, -0.3000, -0.6950
0.420, -0.3000, -0.6096
0.430, -0.3000, -0.6644
0.440, -0.3000, -0.6427
0.450, -0.3000, -0.5978
0.460, -0.3000, -0.6714
0.470, -0.3000, -0.6048
0.480, -0.3000, -0.6505
0.490, -0.3000, -0.6237
0.500, 0.7000, -0.2603
0.510, 0.7000, 15.0089
0.520, 0.7000, 6.8630
0.530, 0.7000, 4.3717
0.540, 0.7000, 3.2867
0.550, 0.7000, 2.7304
0.560, 0.7000, 2.3015
0.570, 0.7000, 2.1178
0.580, 0.7000, 1.8960
0.590, 0.7000, 1.8171
0.600, 0.7000, 1.7383
0.610, 0.7000, 1.6344
0.620, 0.7000, 1.6278
0.630, 0.7000, 1.5365
0.640, 0.7000, 1.5201
0.650, 0.7000, 1.5200
0.660, 0.7000, 1.4449
0.670, 0.7000, 1.4578
0.680, 0.7000, 1.4223
0.690, 0.7000, 1.4048
0.700, 0.7000, 1.4160
0.710, 0.7000, 1.3532
0.720, 0.7000, 1.4049
0.730, 0.7000, 1.3364
0.740, 0.7000, 1.3543
0.750, 0.7000, 1.3453
0.760, 0.7000, 1.2984
0.770, 0.7000, 1.3495
0.780, 0.7000, 1.3009
0.790, 0.7000, 1.3015
0.800, 0.7000, 1.3049
0.810, 0.7000, 1.2697
0.820, 0.7000, 1.3215
0.830, 0.7000, 1.2714
0.840, 0.7000, 1.2853
0.850, 0.7000, 1.3048
0.860, 0.7000, 1.2584
0.870, 0.7000, 1.3102
0.880, 0.7000, 1.2484
0.890, 0.7000, 1.2853
0.900, 0.7000, 1.2910
0.910, 0.7000, 1.2656
0.920, 0.7000, 1.2947
0.930, 0.7000, 1.2338
0.940, 0.7000, 1.2614
0.950, 0.7000, 1.2742
0.960, 0.7000, 1.2286
0.970, 0.7000, 1.2727
0.980, 0.7000, 1.2290
0.990, 0.7000, 1.2587
1.000, 0.7000, 1.2665
1.010, 0.7000, 1.2225
1.020, 0.7000, 1.2682
1.030, 0.7000, 1.2257
1.040, 0.7000, 1.2452
1.050, 0.7000, 1.2664
1.060, 0.7000, 1.2058
1.070, 0.7000, 1.2859
1.080, 0.7000, 1.2314
1.090, 0.7000, 1.2223
1.100, 0.7000, 1.2450
1.110, 0.7000, 1.2064
1.120, 0.7000, 1.2530
1.130, 0.7000, 1.1970
1.140, 0.7000, 1.2106
1.150, 0.7000, 1.2359
1.160, 0.7000, 1.2072
1.170, 0.7000, 1.2535
1.180, 0.7000, 1.1953
1.190, 0.7000, 1.2146
1.200, 0.7000, 1.2326
1.210, 0.7000, 1.1861
1.220, 0.7000, 1.2269
1.230, 0.7000, 1.1990
1.240, 0.7000, 1.2031
1.250, 0.7000, 1.2221
1.260, 0.7000, 1.1772
1.270, 0.7000, 1.2409
1.280, 0.7000, 1.1935
1.290, 0.7000, 1.2137
1.300, 0.7000, 1.2370
1.310, 0.7000, 1.1765
1.320, 0.7000, 1.2184
1.330, 0.7000, 1.1847
1.340, 0.7000, 1.1875
1.350, 0.7000, 1.2195
1.360, 0.7000, 1.1756
1.370, 0.7000, 1.2287
1.380, 0.7000, 1.1592
1.390, 0.7000, 1.1902
1.400, 0.7000, 1.2113
1.410, 0.7000, 1.1722
1.420, 0.7000, 1.2230
1.430, 0.7000, 1.1666
1.440, 0.7000, 1.1865
1.450, 0.7000, 1.2216
1.460, 0.7000, 1.1656
1.470, 0.7000, 1.2250
1.480, 0.7000, 1.1785
1.490, 0.7000, 1.1874
1.500, 0.7000, 1.2210
1.510, 0.7000, 1.1549
1.520, 0.7000, 1.2138
1.530, 0.7000, 1.1550
1.540, 0.7000, 1.1949
1.550, 0.7000, 1.2105
1.560, 0.7000, 1.1630
1.570, 0.7000, 1.2052
1.580, 0.7000, 1.1682
1.590, 0.7000, 1.1825
1.600, 0.7000, 1.1925
1.610, 0.7000, 1.1672
1.620, 0.7000, 1.2289
1.630, 0.7000, 1.1673
1.640, 0.7000, 1.1890
1.650, 0.7000, 1.1926
1.660, 0.7000, 1.1454
1.670, 0.7000, 1.2295
1.680, 0.7000, 1.1560
1.690, 0.7000, 1.1876
1.700, 0.7000, 1.1846
1.710, 0.7000, 1.1584
1.720, 0.7000, 1.2015
1.730, 0.7000, 1.1744
1.740, 0.7000, 1.1874
1.750, 0.7000, 1.1950
