Experiment Name = RAA_2_03_07_18
raa_2_Set_temps = 87
raa_2_Set_H2O2 = 15
raa_2_electrode = ['BASi_Old100um']
Equation=['4.6705*x -0.3215']

2018, 7, 2, 19, 29, 15, 915	88.705	16.055001085	17.328403569	3.50637	0
2018, 7, 2, 19, 29, 26, 88	88.605	19.85926345	17.4310284655	4.3209	0
2018, 7, 2, 19, 29, 36, 326	88.5	19.51859718	17.6162534898	4.24796	0
2018, 7, 2, 19, 29, 46, 492	88.395	16.76767268	17.5246042682	3.65896	0
2018, 7, 2, 19, 29, 56, 730	88.29	15.44638823	17.4313157012	3.37606	0
2018, 7, 2, 19, 30, 6, 898	88.18	16.362880445	17.4559035485	3.57229	0
2018, 7, 2, 19, 30, 17, 143	88.075	15.075784055	17.2791601522	3.29671	0
2018, 7, 2, 19, 30, 27, 311	87.97	15.047294005	16.9848275775	3.29061	0
2018, 7, 2, 19, 30, 37, 550	87.865	14.91759422	16.9204750932	3.26284	0
2018, 7, 2, 19, 30, 47, 904	87.765	27.087189135	17.337959412	5.86847	1
2018, 7, 2, 19, 30, 58, 50	87.665	17.478943125	17.3507168827	3.81125	0
2018, 7, 2, 19, 31, 8, 191	87.57	19.20501981	17.3055344658	4.18082	0
2018, 7, 2, 19, 31, 18, 331	87.47	16.251722545	17.2506607612	3.54849	0
2018, 7, 2, 19, 31, 28, 573	87.365	15.47347713	17.1811753975	3.38186	0
2018, 7, 2, 19, 31, 38, 731	87.255	16.851788385	17.1010015945	3.67697	0
2018, 7, 2, 19, 31, 48, 972	87.15	15.43499221	17.0717105538	3.37362	0
2018, 7, 2, 19, 31, 59, 139	87.045	19.48011226	17.224578354	4.23972	0
2018, 7, 2, 19, 32, 9, 382	86.93	18.37404445	17.3435943702	4.0029	0
2018, 7, 2, 19, 32, 19, 550	86.825	15.074382905	17.3510064537	3.29641	0
2018, 7, 2, 19, 32, 29, 787	86.725	16.74628179	17.3254214547	3.65438	0
2018, 7, 2, 19, 32, 39, 950	86.615	16.884575295	17.3669001652	3.68399	0
2018, 7, 2, 19, 32, 50, 191	86.51	17.58865317	17.2533696512	3.83474	0
2018, 7, 2, 19, 33, 0, 357	86.42	18.47950434	17.2014150092	4.02548	0
2018, 7, 2, 19, 33, 10, 600	86.335	14.826379355	17.104350343	3.24331	0
2018, 7, 2, 19, 33, 20, 766	86.265	15.08862793	17.086462328	3.29946	1
2018, 7, 2, 19, 33, 31, 8	86.205	18.6491369	17.2007751507	4.0618	0
2018, 7, 2, 19, 33, 41, 171	86.15	19.13944599	17.4039582475	4.16678	0
2018, 7, 2, 19, 33, 51, 413	86.1	15.618869795	17.432537037	3.41299	0
2018, 7, 2, 19, 34, 1, 582	86.055	15.235421745	17.4484284132	3.33089	0
2018, 7, 2, 19, 34, 11, 826	86.02	16.26596757	16.907367335	3.55154	0
2018, 7, 2, 19, 34, 21, 990	85.99	17.838104575	16.9253254075	3.88815	0
2018, 7, 2, 19, 34, 32, 230	85.96	17.061307015	16.8181397677	3.72183	0
2018, 7, 2, 19, 34, 42, 393	85.945	14.998814215	16.7554943513	3.28023	0
2018, 7, 2, 19, 34, 52, 632	85.955	17.932168445	16.878428917	3.90829	1
2018, 7, 2, 19, 35, 2, 800	85.98	17.15252188	16.8934655917	3.74136	0
2018, 7, 2, 19, 35, 13, 41	86.005	20.208476735	17.132139818	4.39567	0
2018, 7, 2, 19, 35, 23, 209	86.04	22.14977006	17.265622708	4.81132	0
2018, 7, 2, 19, 35, 33, 503	86.1	16.92021121	17.192931046	3.69162	0
2018, 7, 2, 19, 35, 43, 714	86.16	19.30907855	17.4046658282	4.2031	0
2018, 7, 2, 19, 35, 53, 828	86.22	18.728955745	17.503799526	4.07889	0
2018, 7, 2, 19, 36, 4, 69	86.295	18.02338331	17.5607399267	3.92782	0
2018, 7, 2, 19, 36, 14, 227	86.39	16.96009728	17.5293121322	3.70016	0
2018, 7, 2, 19, 36, 24, 469	86.485	18.972662435	17.553970037	4.13107	0
2018, 7, 2, 19, 36, 34, 635	86.58	20.05168805	17.8152354718	4.3621	0
2018, 7, 2, 19, 36, 44, 875	86.675	20.990972305	18.1103526905	4.56321	0
2018, 7, 2, 19, 36, 55, 39	86.77	17.821010545	18.0689463727	3.88449	0
2018, 7, 2, 19, 37, 5, 284	86.865	18.86435354	18.0551917503	4.10788	0
2018, 7, 2, 19, 37, 15, 447	86.97	19.2264107	18.2355687955	4.1854	0
2018, 7, 2, 19, 37, 25, 692	87.075	18.917083485	18.4196518825	4.11917	0
2018, 7, 2, 19, 37, 35, 853	87.175	21.07079115	18.6598930615	4.5803	0
2018, 7, 2, 19, 37, 46, 96	87.28	17.892282375	18.6626019515	3.89975	0
2018, 7, 2, 19, 37, 56, 259	87.385	20.61896698	18.8404849497	4.48356	0
2018, 7, 2, 19, 38, 6, 502	87.485	18.20441189	19.0007648335	3.96658	0
2018, 7, 2, 19, 38, 16, 665	87.57	17.359191505	18.9721159865	3.78561	0
2018, 7, 2, 19, 38, 26, 883	87.655	24.11819899	19.320399842	5.23278	0
2018, 7, 2, 19, 38, 37, 81	87.74	20.589029075	19.339427459	4.47715	0
2018, 7, 2, 19, 38, 47, 286	87.815	17.195256955	19.0917018037	3.75051	0
2018, 7, 2, 19, 38, 57, 495	87.875	19.4487265	19.2181275683	4.233	0
2018, 7, 2, 19, 39, 7, 695	87.94	19.91624355	19.2484858182	4.3331	0
2018, 7, 2, 19, 39, 17, 897	88.0	19.90344638	19.30721035	4.33036	0
